taxa_id	count_won_vote	count_truth_table	accuracy
1854	8	8	1
1859	3	3	1
1873	1	1	1
1883	7	10	0.7
1902	2	2	1
1911	2	2	1
1930	2	2	1
2000	2	2	1
2001	2	2	1
2019	1	1	1
2020	1	1	1
2021	4	4	1
2047	2	2	1
2053	2	2	1
2054	2	2	1
2056	2	2	1
2057	2	2	1
2060	1	1	1
2061	1	1	1
2063	1	1	1
2066	1	1	1
2093	8	10	0.8
2095	1	1	1
2096	2	2	1
2097	2	2	1
2098	2	2	1
2099	1	1	1
2100	2	2	1
2104	3	3	1
2107	2	2	1
2109	1	1	1
2110	1	1	1
2111	2	2	1
2118	1	1	1
2121	0	2	0
2129	3	3	1
2130	3	3	1
2147	1	1	1
2148	1	1	1
2160	1	1	1
2172	3	3	1
2173	3	3	1
2175	2	2	1
2176	2	2	1
2179	2	2	1
2180	2	2	1
2184	2	2	1
2187	1	1	1
2192	1	1	1
2202	4	4	1
2203	4	4	1
2207	8	8	1
2208	5	5	1
2209	1	1	1
2214	3	3	1
2222	2	2	1
2223	1	1	1
2224	1	1	1
2225	4	4	1
2233	1	1	1
2234	1	1	1
2237	1	1	1
2238	1	1	1
2239	4	4	1
2242	4	4	1
2260	3	3	1
2261	2	2	1
2263	6	6	1
2270	1	1	1
2273	1	1	1
2275	1	1	1
2276	5	5	1
2277	3	3	1
2279	2	2	1
2280	2	2	1
2284	2	2	1
2285	1	1	1
2295	3	3	1
2296	3	3	1
2314	0	2	0
2316	3	3	1
2317	3	3	1
2321	1	1	1
2322	1	1	1
2335	4	5	0.8
2336	1	2	0.5
2337	1	1	1
2349	2	2	1
2350	2	2	1
2370	4	4	1
2371	4	4	1
2420	4	4	1
2421	3	3	1
2422	2	2	1
2424	2	2	1
2433	1	1	1
2697	1	1	1
2701	1	1	1
2702	1	1	1
2723	1	1	1
2724	1	1	1
2742	3	3	1
2743	3	3	1
2745	2	2	1
2746	2	2	1
2747	1	1	1
2751	1	1	1
4930	4	4	1
4932	4	4	1
5206	1	1	1
5207	1	1	1
5476	2	2	1
9539	0	1	0
9541	0	1	0
9544	0	1	0
9592	0	1	0
9593	0	1	0
9596	0	1	0
9598	0	1	0
9605	0	2	0
9606	0	2	0
10842	0	1	0
10857	0	1	0
12914	1	1	1
12916	3	3	1
13373	1	3	0.333333333333333
13687	2	2	1
13769	1	1	1
28025	1	1	1
28037	2	8	0.25
28048	4	4	1
28049	4	4	1
28065	3	3	1
28105	1	1	1
28108	2	2	1
28110	2	2	1
28123	1	1	1
28132	3	3	1
28137	0	1	0
28151	2	2	1
28173	1	1	1
28196	1	1	1
28227	1	1	1
28228	1	1	1
28229	1	1	1
28231	6	6	1
28232	3	3	1
28236	1	1	1
28253	1	1	1
28263	2	2	1
28264	2	2	1
28447	2	2	1
28448	0	1	0
28449	1	1	1
28450	3	4	0.75
28895	1	1	1
28901	3	5	0.6
28903	1	1	1
